doc_id,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6
substack:government-to-american-enterprise,0.14373412572347755,0.1485559350167242,0.2104356378381774,0.14932109413975556,0.14349515448883488,0.20445805279303042
substack:the-military-doctrine-of-altruism,0.17936355028998419,0.11346538358198494,0.42186766419700783,0.08425063608509083,0.12841501326416555,0.07263775258176676
substack:condemn-the-power-of-eminent-domain,0.16156939007490978,0.09139607802346017,0.5071308041761324,0.0722593427249116,0.09173796038452779,0.07590642461605808
substack:notes-on-the-coming-election,0.16871641356303232,0.13988424657531415,0.2694471199864802,0.14606188333313094,0.14372792735208992,0.13216240918995265
substack:insulting-our-soldiers-vs-sacrificing,0.15658239009461528,0.2333814187780226,0.19036170125793173,0.13669578908993213,0.14922846677883622,0.13375023400066213
substack:tragedy-of-theology,0.16407295916821943,0.12965886025408066,0.35937742745264634,0.099944818903242,0.1673151032854995,0.07963083093631194
substack:from-the-editor-winter-20062007,0.15070491324536295,0.1834694782115556,0.31054893794150107,0.1271855676268706,0.12508311376872466,0.10300798920598493
substack:no-substitute-for-victory-the-defeat-of-islamic-totalitarianism-2,0.1830868674456103,0.16214158204424908,0.26032030538324813,0.1490742210359466,0.1304032552790199,0.11497376881192593
substack:assault-on-self-esteem,0.18078627882435985,0.1366456214412455,0.3730274222081087,0.09446377632287878,0.13542446291873805,0.07965243828466882
substack:mr-jekyll-dr-house,0.20291351400775898,0.1926681082854005,0.08935438006329732,0.07018284625092572,0.3897631495431957,0.05511800184942188
substack:property-and-principle,0.1332671003588299,0.0980977314306901,0.5069672101745406,0.08360320072927878,0.09604623821521206,0.08201851909144875
substack:winter-issue-of-tos,0.11129603293013648,0.17513047539272097,0.33228307355321157,0.147939103657649,0.0992107431737034,0.13414057129257825
substack:the-real-key-to-fixing-science-education,0.1933720270423356,0.20922888346349786,0.15194053557817055,0.13892884334916994,0.22536927202766316,0.08116043853916272
substack:the-power-of-observation-from-art,0.13572373453459552,0.1775929149119367,0.21282794761161913,0.13658862527805232,0.1448921943667581,0.1923745832970382
substack:p-is-for-pajama-party-or-paragraph,0.17795498075350494,0.1813121486698978,0.2734139427273511,0.11815850355907119,0.155465119256305,0.09369530503387011
substack:the-homework-lie,0.1401929981944906,0.20163803274714834,0.16927854533391867,0.15598898045030452,0.21049775223424852,0.12240369103988936
substack:the-homework-lie-part-2,0.17037010766160138,0.2195136492733134,0.1668860067706904,0.14200843131657792,0.16700862971360927,0.1342131752642076
substack:pattern-recognition-vs-real-understanding,0.17463567179017478,0.3024321424859419,0.12177154514606714,0.11791505361260027,0.1861421577326525,0.0971034292325636
substack:the-imperative-of-lecturing,0.13574062978191914,0.1805157107608713,0.08228303026086717,0.18060059045157992,0.26633824631601594,0.15452179242874658
substack:writing-and-understanding,0.19234017804972384,0.23854862231368176,0.10909461869597924,0.12214713032926326,0.2509732326287285,0.0868962179826237
substack:life-in-junior-high,0.1767778003056141,0.2020703730586096,0.1855166863996872,0.12253117340003179,0.21500174065208424,0.09810222618397303
substack:life-in-junior-high-part-2,0.17737930878791977,0.1898404234101963,0.28687875921424877,0.10160934877264502,0.1571135293875203,0.08717863042746993
substack:rex-barks,0.150256532025551,0.21066073226312565,0.18310666077510726,0.16216302230706467,0.17938056449318188,0.11443248813596929
substack:letters-replies-3,0.1167122325766087,0.0822485029759535,0.5185592036901402,0.09876284695518744,0.07990529402893547,0.10381191977317475
substack:from-the-editor-5,0.16242110609562097,0.12066046927398333,0.38042321963230935,0.11498882914528114,0.1334241345151284,0.08808224133767673
substack:forward-strategy-for-failure,0.14814869345527829,0.11641046183505875,0.43428081745248853,0.09465813439230852,0.1096363210874384,0.09686557177742733
substack:induction-experimental-method,0.11029971546747093,0.13623982266521661,0.00922614294490781,0.048255668941135366,0.6572429751674775,0.038735674813791754
substack:rise-fall-greek-justice,0.17127294421918726,0.21278102412307467,0.17860450204921657,0.12454698898213268,0.2212281669082621,0.09156637371812681
substack:on-second-thought-gmu-refuses-to,0.15699224901234324,0.09000488067732945,0.5398656961173344,0.06796579358987936,0.08366097562430161,0.06151040497881178
substack:the-vandamme-academy-curriculumon,0.186925364359715,0.179723078006576,0.1957322493641314,0.12144734656209567,0.20451310546123302,0.11165885624624919
substack:the-failure-of-field-trips,0.1438539454067746,0.21311765897730076,0.1360248186016802,0.15512031126809375,0.1898847481251532,0.16199851762099746
substack:from-the-editor-6,0.18270129465228815,0.11190629217820523,0.3971267991629108,0.11192688533366658,0.10589831894894154,0.09044040972398776
substack:neoconservative-foreign-policy,0.19370523757087987,0.12026012085809405,0.3035229749831154,0.12405065712969879,0.14386017047330882,0.1146008389849031
substack:balm-guilty-conscience,0.10035012251571024,0.07518151797527975,0.6192743710508885,0.07459816338558843,0.0571591565286384,0.07343666854389454
substack:letters-replies-4,0.15218046764698517,0.1765479335197386,0.04106236112055333,0.30304315727838055,0.1785186962072876,0.14864738422705465
substack:false-promise-classical-education,0.21144351736453362,0.14570993320961137,0.34660047807283906,0.07979007696329253,0.16040418493983943,0.05605180944988418
substack:the-writing-process-one-step-at-a,0.20716786643423057,0.17596151808624966,0.1522129531454589,0.12252800156955101,0.2601634833696278,0.08196617739488184
substack:the-vandamme-academy-field-trip,0.18444626729091013,0.23330420544986055,0.20074713850088743,0.10813274805672989,0.1942302508880831,0.07913938981352912
substack:doctor-defends-freedom-in-medicine,0.176655515364367,0.1132307850362639,0.3614645126800907,0.12468362908380644,0.13826692871136867,0.0856986291241035
substack:the-false-promise-of-classical-education,0.1258506863170564,0.13557515114848415,0.47351486841027807,0.0852162385366491,0.10019919413430539,0.07964386145322686
substack:the-rushdie-fatwa-and-religion-vs-free-speech,0.13888030360735604,0.1281321454450857,0.3026750674754266,0.1568915319617847,0.12649670286244374,0.14692424864790335
substack:mediocrities-hold-their-ground,0.1083094033551177,0.2577435699690273,0.09247616895120996,0.20250241509056344,0.1475138192088121,0.1914546234252695
substack:from-the-editor-7,0.15928179228324926,0.12495663080326029,0.2955755469784712,0.1418432583541357,0.15810170421260655,0.12024106736827696
substack:morality-of-moneylending,0.20186990144728076,0.13193782083519792,0.11435817553925286,0.16377774351759392,0.2740788144925629,0.1139775441681115
substack:how-to-analyze-and-appreciate-paintings,0.15936373239856497,0.2671173527594217,0.09848828956271437,0.15709538318418495,0.1686110621010523,0.14932417999406172
substack:the-bush-administrations-latest-deadly,0.18343675279745347,0.09526850673488356,0.4648890725923785,0.09103455409487338,0.09768669031979797,0.067684423460613
substack:regarding-the-economic-costs-of-my,0.16577028641462624,0.1303949171824347,0.47546861181431316,0.07093942589575389,0.09923909183417212,0.05818766685869957
substack:exploit-the-earth-or-die,0.09217390059861628,0.12394176797498038,0.09505753896612087,0.2634556118128472,0.1851199882770927,0.24025119237034254
